event_id,original_event_id,version,asset,status,date,state,completed_work,work_to_do,delays,delay_comment,delay_duration,location,team_id,locked
38,38,1,DT5260,Complete,2023-05-22 00:00,Planned On Track,"took for a spin and got hot, sent back to work, then  started leaking at the go line coolant, brought back  draned coolant had pinched oring. ",Sent ,Rework,Pinched oring,2,Running in Pit,2,0
39,39,1,ST2020,In Process,2023-05-23 00:00,Planned On Track,"Washed, gave the strut area a good clean, running  checks sample,Comms came done there jobs,  Service 70%","Carrry on with service & backlogs, Pos 1 strut  change out, Chubb for 12M",No Delay,None,0,Workshop Bay 12,2,0
40,40,1,DT5187,In Process,2023-05-22 00:00,Planned Overrun,"Completed hose inspection, replace rax cooler  module, replaced a heap of hoses, filled grease  tank","Charge up brake accumulators, adjust rear struts,  Continue with hoses",Labour not available,417662539 -417662478 - Short on   labour due to unplanned absence,6,Workshop Bay 10,2,0
41,41,1,WT3435,In Process,2023-05-22 00:00,Planned Overrun,"Stock transfer didn’t arive till Midnight plumbed up  pre lube, fitted pump and pumbed, fitted grease  valve","Fill coolant, tidy up alternator guard, double check  over everything when running",No Parts Available (STR),417665355 - waiting on stock transfer  from FX01 (6V3348  10009230),6,Workshop Bay 9,2,0
42,42,1,DT5174,In Process,2023-05-22 00:00,Planned On Track,"brought down from BD, washed, running checks,  service about 90%, struggling to fill hub oil to slow,  horn fixed,  accumulator checks done","steering cycle times, and final strut heights, fill hubs   Backlogs  Final drive change ,boily to repair access  ladder.. may be some defects, can do final on the  apron ",Wait on Tooling, 526374349 - 3hrs to extrac to fill oils   due to compressor not working properly,3,Workshop Bay 1,2,0
43,43,1,DT5258,In Process,2023-05-22 00:00,Breakdown,LHR DOG BONE REMOVED  BOREX STARTED,FIT LHR DOG BONE AND  REPLACED RH DOG BONE,Wait on Ext Services,Wait on borex,2,OB35 Park Up,2,0
44,44,1,DT5268,Complete,2023-05-22 00:00,Breakdown,TIGHTENED LOOSE DOG BONE  BOLT,done,No Delay,none,0,OB35 Park Up,2,0
45,45,1,DT5268,Complete,2023-05-22 00:00,Breakdown,STEERING FAULT NO LONGER  PRESENT,IF FAULT OCCURS AGAIN  CHANGE OUT SENSOR WIRING  HAS BEEN CHECKED BY  SPARKY,No Delay,None,0,AOZ,2,0
46,46,1,DT5259,Complete,2023-05-22 00:00,Breakdown,OIL LEAK IS JUST RESIDUAL  FROM TRANS,nothing,Operator Error,no issue,3,AOZ,2,0
47,47,1,DT5185,In Process,2023-05-22 00:00,Breakdown,REPLACED CAM AND CRANK  SENSORS,"FIX RAIL LEAKAGE AT  CYLINDER #4 - REPLACE  INJECTOR, QUILL AND FLOW  LIMITER",Wait on Tooling,No jump pack,1,OB35 Park Up,2,0
48,48,1,DT5183,In Process,2023-05-23 00:00,Breakdown,FOUND OUTPUT FROM ENGINE  ECM READING 8V+ SHOULD BE  AROUND 2V CHECKED FOAM  HARNESS FOR SHORT ALL  OKAY.,WESTRAC TO FLASH ENGINE  ECM TO SEE IF IT RECITIFIES  VOLTAGE ISSUE IF NOT  REPLACE ENGINE ECM - I  COULD NOT LOCATE ENGINE  ECM WAIO WIDE,Wait on Ext Services,WESTRAC  NEEDS TO  REFLASH  ENGINE ECM,2,Hill Crib,2,0
49,49,1,DT5123,Complete,2023-05-22 00:00,Breakdown,TOPPED UP HYD OIL,sent,Wait on Service Truck,slug being used to  jump 185 ,1,High Wall,2,0
50,50,1,DT5176,In Process,2023-05-23 00:00,Breakdown,REPLACED PINCHED O-RING  GOT MACHINE RUNNING,CONTINUE INVESTIGATE FUEL  FILTER PRESSURE SENSOR  CODE,Wait on Tooling,jump pack,2,High Wall,2,0
51,51,1,DT5233,Complete,2023-05-23 00:00,Breakdown,REPLACED BLOCKOUT BLIND,sent,Wait on Access,TRUCK  REQUESTED  MULTIPLE  TIMES TO HILL,3,Hill Crib,2,0
52,52,1,DT5193,Complete,2023-05-22 00:00,Breakdown,REPLACED HOIST SCREENS  BROUGHT PREVIOUSLY  DELAYED PUMP C/O FORWARD,MONITOR FOR HOIST SCREEN FAULTS/LOCATE HOIST PUMP WESTRAC?,Overdue Component Failure,COMPONENT  PAST C/O  HOURS,2,OB35 Park Up,2,0
53,53,1,DT5176,Complete,2023-05-22 00:00,Breakdown,REPLACED FUEL HOSE,sent,No Delay,None,0,High Wall,2,0
54,54,1,DT5184,Complete,2023-05-22 00:00,Breakdown,REINSTALLED AIR FILTER  COVER,sent,Rework,air cover loose,2,Hill Crib,2,0
55,55,1,DT5701,Complete,2023-05-23 00:00,Breakdown,REPAIRED OIL LEAK AT LOWER  HOIST SCREEN,sent,Wait on Service Truck,slug being used to  jump 185 ,1,High Wall,2,0
56,43,2,DT5258,In Process,2023-05-22 00:00,Breakdown,Dog bones and Pos 3 Strut -  ,Continue with fitting of Pos 3  strut,Wait on Ext Services,Wait on borex,5,OB35 Park Up,2,0
57,57,1,DT5268,In Process,2023-05-22 00:00,Breakdown,LH Steer Cylinder Fault ,Engage with auto techs to check  wiring,Higher Priority Work,"435718980,  435718239,  435719652,  435725798,  435725519,  435725519",12,AOZ,2,0
58,47,2,DT5185,In Process,2023-05-22 00:00,Breakdown,"Unexpected shut down - no  codes, crank but doesn’t start ",Needs a decent jump start,Wait on Tooling,No jump pack,1,SP30,2,0
59,59,1,DT5196,In Process,2023-05-23 00:00,Breakdown,Low brake accum pressure -  broken down in pit.,need to recover,Wait on Access,Broken on haul   ramp,1,W13,2,0
60,60,1,DT5230,In Process,2023-05-23 00:00,Breakdown,Faulty indicators,not attended,Higher Priority Work,working on other breakdowns,3,Hill Crib,2,0
61,61,1,DT5252,Complete,2023-05-22 00:00,Breakdown,Brake cooling hose - replace  hose and top up oil ,sent,Higher Priority Work,"435725443,  435718239,  435718980,  435725294",3,AOZ,2,0
63,50,2,DT5176,Complete,2023-05-23 00:00,Breakdown,Fuel Sensor Issue - Air lock in  fuel,sent,Wait on Tooling,jump pack,2,High Wall,2,0
64,64,1,DT5175,Complete,2023-05-22 00:00,Breakdown,Hyd Leak - replaced leaking o  ring and topped up oil,sent,No Delay,None,0,Hill Crib,2,0
65,48,2,DT5183,Complete,2023-05-22 00:00,Breakdown,Loss of power - run jumper  wires across engine harness.  Not faulting at the time. Send  and reevaluate.,If it goes down again - check  foam harness and/or the ECM,Wait on Ext Services,WESTRAC  NEEDS TO  REFLASH  ENGINE ECM,1,Hill Crib,2,0
66,66,1,DT5123,Complete,2023-05-22 00:00,Breakdown,High Temp Shut down,sent,No Delay,None,0,Pondy Ramp,2,0
67,40,2,DT5187,Complete,2023-05-22 00:00,Planned Overrun,"Replaced hoses, Set stut heights, Charged bvrake  accumulators, Set oil levels, Fitted brake charge o- ring, Hand back SW completed",Sent back to work,Labour not available,Short on   labour due to unplanned absence,1,Workshop Bay 10,2,0
